,node,community,degree_centrality_big,betweenness_big,degree,outsider,status
0,1,0,0.004210004952947003,4.463599717680394e-05,17,in,normal
1,0,0,0.08568598315998019,0.13382523651261172,346,in,influencer
2,2,0,0.0024764735017335318,5.564813594255961e-07,10,out,normal
3,3,0,0.004210004952947003,2.21117453181869e-06,17,in,normal
4,4,0,0.0024764735017335318,6.175336450528664e-07,10,out,normal
5,5,0,0.003219415552253591,2.1658969206193045e-06,13,in,normal
6,6,0,0.0014858841010401188,2.760498082189965e-07,6,out,normal
7,7,0,0.0049529470034670635,0.00021187227664599807,20,in,normal
8,8,0,0.001981178801386825,2.2151910733250186e-05,8,out,normal
9,9,0,0.014115898959881128,2.214608066582696e-05,57,in,normal
10,10,0,0.0024764735017335318,1.0392506026101717e-07,10,out,normal
11,11,0,0.0002476473501733532,0.0,1,out,normal
12,12,0,0.0002476473501733532,0.0,1,out,normal
13,13,0,0.007429420505200594,2.1957551540441414e-06,30,in,normal
14,14,0,0.003714710252600297,1.0073627128499577e-06,15,in,normal
15,15,0,0.0002476473501733532,0.0,1,out,normal
16,16,0,0.002228826151560178,4.5667941737765397e-07,9,out,normal
17,17,0,0.003219415552253591,2.1033752921740075e-06,13,in,normal
18,18,0,0.0002476473501733532,0.0,1,out,normal
19,19,0,0.00396235760277365,5.724114294871932e-06,16,in,normal
20,20,0,0.003714710252600297,1.3233350682893378e-06,15,in,normal
21,21,0,0.016097077761267953,0.0008436103683491555,65,in,normal
22,22,0,0.0027241208519068845,9.381663487224431e-07,11,in,normal
23,23,0,0.004210004952947003,5.8387006375102684e-05,17,in,normal
24,24,0,0.00396235760277365,1.0089360868277081e-06,16,in,normal
25,25,0,0.017087667161961362,5.652752810116139e-05,69,in,normal
26,26,0,0.016840019811788013,2.575842606006938e-05,68,in,normal
27,27,0,0.0012382367508667654,1.2999170863222586e-07,5,out,normal
28,28,0,0.003219415552253591,8.783934109148388e-07,13,in,normal
29,29,0,0.003219415552253591,1.7935855688854703e-06,13,in,normal
30,30,0,0.004210004952947003,1.6357681928143499e-06,17,in,normal
31,31,0,0.005695889053987122,4.882099215223725e-06,23,in,normal
32,32,0,0.0014858841010401188,2.835474573311174e-07,6,out,normal
33,33,0,0.0004952947003467064,0.0,2,out,normal
34,34,1,0.0012382367508667654,0.0026984281444924754,5,out,normal
35,35,0,0.0004952947003467064,0.0005652911169240146,2,out,normal
36,36,0,0.0027241208519068845,6.747884200908804e-07,11,in,normal
37,37,0,0.0002476473501733532,0.0,1,out,normal
38,38,0,0.002228826151560178,8.930031862517849e-07,9,out,normal
39,39,0,0.003714710252600297,1.1310056479662123e-06,15,in,normal
40,40,0,0.010896483407627538,1.531612453609354e-05,44,in,normal
41,41,0,0.005943536404160475,1.0822482299742357e-05,24,in,normal
42,42,0,0.0004952947003467064,0.0,2,out,normal
43,43,0,0.0002476473501733532,0.0,1,out,normal
44,44,0,0.0014858841010401188,9.610622952809508e-08,6,out,normal
45,45,0,0.0029717682020802376,6.625195397255918e-07,12,in,normal
46,46,0,0.0012382367508667654,6.134440182644368e-08,5,out,normal
47,47,0,0.0004952947003467064,0.0,2,out,normal
48,48,0,0.005448241703813769,7.590178359614513e-06,22,in,normal
49,49,0,0.0009905894006934123,1.6358507153718312e-07,4,out,normal
50,50,0,0.0027241208519068845,9.204369757553087e-07,11,in,normal
51,51,0,0.0017335314512134721,2.78121177631318e-07,7,out,normal
52,52,0,0.0004952947003467064,0.0,2,out,normal
53,53,0,0.007677067855373947,1.237760740851167e-05,31,in,normal
54,54,0,0.001981178801386825,5.439805044315519e-07,8,out,normal
55,55,0,0.004210004952947003,3.7897981625237896e-07,17,in,normal
56,56,0,0.01906884596334819,0.0010731798861929823,77,in,normal
57,57,0,0.003714710252600297,2.4880664613429346e-06,15,in,normal
58,58,2,0.0029717682020802376,0.07458515115888895,12,in,normal
59,59,0,0.00470529965329371,0.0002837875330941885,19,in,normal
60,60,0,0.001981178801386825,1.0187246030583717e-07,8,out,normal
61,61,0,0.0007429420505200594,6.134440182644368e-08,3,out,normal
62,62,0,0.0064388311045071814,4.9352228080836525e-06,26,in,normal
63,63,0,0.0014858841010401188,6.747884200908807e-08,6,out,normal
64,64,0,0.0017335314512134721,1.1312605887267239e-05,7,out,normal
65,65,0,0.0029717682020802376,9.516461941594149e-07,12,in,normal
66,66,0,0.003714710252600297,2.783214350705337e-07,15,in,normal
